culture,variete,type_culture,mode_culture,temperature_min,temperature_max,humidite_min,humidite_max,type_sol,saison,zone_favorable,rendement_kg_ha,cycle_jours,resistance_chaleur,resistance_secheresse,prix_semence_CFA
tomate,Progress,Hybride F1 rond croissance déterminée,Sous serre,22,30,60,80,"Sablo-argileux / limono-sableux, bien drainé","Saison sèche / hivernage avec irrigation","Vallée du fleuve Sénégal, zones irriguées",42000,75,8,6,25000
tomate,Gempride,Hybride F1 rond croissance déterminée tige courte,Sous serre,22,28,60,75,"Sols légers à moyens, riches en humus","Saison fraîche / début saison sèche","Niger, Sénégal, Bassin arachidier",38000,70,7,5,22000
tomate,Yakii,Hybride F1 rond précoce,Sous serre,22,28,60,75,"Sablo-limoneux / limono-sableux","Saison sèche","Vallée du fleuve, Dakar",40000,65,7,6,20000
tomate,Flamenco,Hybride F1 tolérant chaleur,Sous serre,22,30,60,75,"Limono-sableux / sablo-argileux","Saison sèche / hivernage","Sénégal, Côte d'Ivoire, Burkina Faso",45000,70,9,7,28000
tomate,Nadira,Hybride F1 résistant viroses,Sous serre,22,28,60,75,"Sols bien drainés","Saison sèche / hivernage","Dakar, Vallée du fleuve, Sud",40000,72,7,6,26000
tomate,Mongal F1,Hybride F1 vigoureux,Sous serre,20,30,60,75,"Sablo-argileux / limono-sableux","Saison chaude / hivernage","Sénégal, Niger, Afrique de l'Ouest",43000,68,8,7,24000
tomate,Assila,Hybride F1 industriel,Sous serre,20,30,60,75,"Sols profonds riches en matière organique","Saison sèche / hivernage","Zones chaudes irriguées",50000,80,8,6,30000
tomate,Thorgal F1,Hybride F1 très vigoureux,Sous serre,20,30,60,75,"Sablo-limoneux / limono-sableux","Saison chaude / hivernage","Afrique de l'Ouest",44000,70,8,7,26000
tomate,UC82B,Variété industrielle,Plein air,20,30,55,75,"Sols riches en humus","Saison sèche","Afrique de l'Ouest",48000,75,8,6,22000
tomate,Rio Grande,Variété sauce,Plein air,18,32,55,80,"Sols profonds","Toute saison","Zone sahélienne",42000,80,8,7,20000
tomate,Tropic,Variété tropicale,Plein air,22,35,50,80,"Sols sableux","Saison des pluies","Zone tropicale",35000,85,9,8,18000
tomate,Marglobe,Variété ancienne,Plein air,18,30,55,80,"Sols riches","Saison fraîche","Altitude",30000,90,6,5,15000
tomate,Rutgers,Variété ancienne,Plein air,18,30,55,80,"Sols limoneux","Saison fraîche","Zone tempérée",32000,85,6,5,15000
tomate,Coeur de boeuf,Grosse chair,Sous serre,20,28,60,75,"Sols profonds","Saison fraîche","Maraîchage",35000,90,6,5,35000
tomate,Tomate cerise,Cocktail,Sous serre,20,30,60,80,"Sols légers","Toute saison","Toutes zones",25000,70,7,6,30000
tomate,Green Zebra,Originale verte,Sous serre,20,28,60,75,"Sols riches","Saison fraîche","Spécialisée",20000,80,6,5,40000
tomate,Noire de Crimée,Ancienne,Sous serre,18,28,60,75,"Sols profonds","Saison fraîche","Altitude",22000,85,5,4,45000
tomate,San Marzano,Allongée sauce,Sous serre,20,30,55,75,"Sols riches","Saison sèche","Industrie",45000,85,7,6,35000
tomate,Roma VF,Allongée résistante,Plein air,20,32,55,80,"Sols bien drainés","Saison sèche","Zone tropicale",40000,80,8,7,20000
tomate,Petite Sirah,Cerise noire,Sous serre,20,28,60,75,"Sols légers","Toute saison","Spécialisée",18000,75,6,5,50000
poivron,Monaco F1,Poivron carré hybride F1,Sous serre,22,30,60,75,"Sablo-limoneux / limono-sableux","Saison sèche / hivernage irrigué","Niayes, Dakar, Thiès, Ziguinchor",35000,75,7,6,20000
poivron,Nikita,Poivron hybride F1,Sous serre,22,30,60,75,"Sols bien drainés riches en matière organique","Saison sèche / hivernage","Niayes, Thiès",32000,70,7,6,18000
poivron,Fenix F1,Poivron coloré hybride F1,Sous serre,22,28,60,75,"Sols bien drainés amendés","Saison fraîche / hivernage","Niayes, Dakar",30000,75,6,5,22000
poivron,Yolo Wonder,Poivron carré,Sous serre,22,29,60,75,"Sols humifères limono-sableux","Saison sèche / hivernage","Zones irriguées",28000,80,6,5,15000
poivron,California Wonder,Poivron carré,Sous serre,22,29,60,75,"Sols bien drainés riches en matière organique","Saison sèche / hivernage","Sénégal, Afrique de l'Ouest",30000,80,6,5,15000
poivron,King Arthur,Poivron jaune,Sous serre,20,28,60,75,"Sols riches","Saison fraîche","Maraîchage",28000,75,6,6,25000
poivron,Red Knight,Poivron rouge,Sous serre,20,30,60,75,"Sols limoneux","Saison sèche","Toutes zones",32000,70,7,6,22000
poivron,Orange Sun,Poivron orange,Sous serre,22,28,60,75,"Sols bien drainés","Saison fraîche","Spécialisée",26000,75,6,5,28000
poivron,Purple Beauty,Poivron violet,Sous serre,20,28,60,75,"Sols riches","Saison fraîche","Spécialisée",24000,80,5,5,30000
poivron,Chocolate Beauty,Poivron marron,Sous serre,22,28,60,75,"Sols limoneux","Saison fraîche","Spécialisée",25000,80,5,5,32000
poivron,Alma Paprika,Poivron paprika,Plein air,20,30,50,70,"Sols légers","Saison sèche","Industrie",22000,90,7,8,18000
piment,Piment oiseau,Piment très fort,Plein air,25,38,40,80,"Sols pauvres","Toute saison","Toutes zones",8000,90,10,9,10000
piment,Piment antillais,Piment fort,Plein air,24,35,50,85,"Sols légers","Saison chaude","Toutes zones",10000,85,9,8,12000
piment,Piment habanero,Piment très fort,Sous serre,22,32,60,80,"Sols riches","Saison sèche","Spécialisée",8000,100,8,7,15000
piment,Piment jalapeno,Piment moyen,Plein air,20,32,50,80,"Sols limoneux","Saison fraîche","Maraîchage",15000,80,7,6,18000
piment,Piment serrano,Piment fort,Plein air,20,32,50,80,"Sols légers","Saison fraîche","Maraîchage",12000,75,7,6,16000
piment,Piment cayenne,Piment fort,Plein air,22,35,50,80,"Sols pauvres","Saison chaude","Toutes zones",14000,80,9,8,14000
piment,Piment tabasco,Piment fort,Plein air,24,35,60,90,"Sols humides","Saison chaude","Zone humide",13000,90,8,7,15000
piment,Piment de Cayenne long,Piment fort,Plein air,22,35,50,80,"Sols sablonneux","Saison sèche","Zone sahélienne",12000,85,9,8,13000
piment,Piment brazilian,Piment doux,Plein air,20,30,60,80,"Sols riches","Saison fraîche","Maraîchage",16000,80,6,5,20000
piment,Piment Anaheim,Piment doux,Plein air,18,30,50,75,"Sols limoneux","Saison fraîche","Zone tempérée",18000,85,5,5,18000
piment,Piment poblano,Piment doux,Plein air,18,30,50,80,"Sols riches","Saison fraîche","Maraîchage",17000,90,5,5,18000
piment,Piment cascabel,Piment moyen,Plein air,20,32,50,80,"Sols pauvres","Saison chaude","Toutes zones",11000,85,8,7,15000
laitue,Laitue pommée,Légume-feuille tête compacte,Sous serre,15,22,60,80,"Sablo-limoneux bien drainé","Novembre-Février","Niayes, Dakar, Thiès",25000,60,4,3,15000
laitue,Laitue romaine,Légume-feuille,Sous serre,15,22,60,80,"Sols profonds riches en humus","Saison fraîche","Niayes, Thiès, Mbour",22000,65,4,3,14000
laitue,Laitue batavia,Laitue croquante,Sous serre,16,23,60,75,"Sablo-limoneux","Saison fraîche / début hivernage","Niayes",24000,60,4,3,16000
laitue,Laitue locale hybride,Légume-feuille adapté Sénégal,Sous serre,15,22,60,80,"Sols alluviaux légers","Saison fraîche","Niayes, SAED",20000,55,5,4,12000
laitue,Laitue feuille de chêne,Légume-feuille,Sous serre,15,22,60,80,"Sols légers","Saison fraîche","Maraîchage",20000,50,4,3,18000
laitue,Laitue iceberg,Laitue pommée,Sous serre,15,22,60,80,"Sols riches","Saison fraîche","Altitude",28000,70,3,2,20000
laitue,Laitue rouge,Légume-feuille,Sous serre,15,22,60,80,"Sols limoneux","Saison fraîche","Spécialisée",18000,55,4,3,22000
laitue,Laitue butterhead,Laitue pommée,Sous serre,15,22,60,80,"Sols profonds","Saison fraîche","Zone tempérée",23000,65,3,2,19000
laitue,Laitue celtuce,Légume-tige,Sous serre,15,22,60,80,"Sols légers","Saison fraîche","Spécialisée",15000,70,4,3,25000
chou,Chou pommé blanc,Chou pommé,Plein air,15,22,60,85,"Sols riches en azote","Saison fraîche","Niayes, Dakar",40000,90,4,3,10000
chou,Chou pommé rouge,Chou pommé,Plein air,15,22,60,85,"Sols riches en azote","Saison fraîche","Toutes zones",35000,95,4,3,12000
chou,Chou de Milan,Chou pommé frisé,Plein air,15,22,60,85,"Sols profonds","Saison fraîche","Niayes",30000,85,4,3,15000
chou,Chou chinois pekinensis,Chou pommé allongé,Plein air,15,22,60,85,"Sols limoneux","Saison fraîche","Maraîchage",45000,70,3,2,18000
chou,Chou chinois pak-choï,Chou non pommé,Plein air,15,22,60,85,"Sols légers","Saison fraîche","Toutes zones",35000,45,4,3,15000
chou,Chou kale,Chou frisé,Plein air,10,25,60,85,"Sols pauvres","Saison fraîche","Altitude",30000,60,5,4,20000
chou,Chou brocoli,Brocoli,Plein air,15,22,60,85,"Sols riches","Saison fraîche","Niayes",25000,70,4,3,20000
chou,Chou chou-fleur,Chou-fleur,Plein air,15,22,60,85,"Sols riches","Saison fraîche","Niayes",30000,80,3,2,22000
chou,Chou de Bruxelles,Chou à rosettes,Plein air,10,20,60,85,"Sols profonds","Saison fraîche","Altitude",20000,100,3,3,25000
chou,Chou rave,Rave,Plein air,10,22,60,85,"Sols légers","Saison fraîche","Zone tempérée",25000,70,3,3,18000
carotte,Carotte Nantaise,Demi-longue,Plein air,15,25,50,80,"Sols légers et profonds","Saison fraîche","Niayes, Vallée",40000,90,3,2,8000
carotte,Carotte Touchon,Longue améliorée,Plein air,15,25,50,80,"Sols sablonneux","Saison fraîche","Toutes zones",35000,85,3,2,9000
carotte,Carotte Chantenay,Courte,Plein air,15,25,50,80,"Sols argileux","Saison fraîche","Vallée",30000,95,3,2,8000
carotte,Carotte Amsterdam,Longue fine,Plein air,15,25,50,80,"Sols légers","Saison fraîche","Niayes",45000,80,3,2,10000
carotte,Carotte Blanche,Variété fourragère,Plein air,10,28,40,80,"Sols pauvres","Toute saison","Toutes zones",50000,100,5,5,5000
carotte,Carotte Pourpre,Variété couleur,Plein air,15,25,50,80,"Sols légers","Saison fraîche","Spécialisée",30000,90,3,2,15000
carotte,Carotte Jaune,Variété ancienne,Plein air,15,25,50,80,"Sols limoneux","Saison fraîche","Maraîchage",32000,90,3,2,14000
carotte,Carotte Rouge,Variété standard,Plein air,15,25,50,80,"Sols profonds","Saison fraîche","Toutes zones",38000,85,3,2,8000
aubergine,Douga,Variété locale,Plein air,25,35,50,80,"Sols riches","Saison chaude","Toutes zones",30000,80,8,7,8000
aubergine,N'Drowa,Variété locale,Plein air,25,35,50,80,"Sols légers","Saison chaude","Toutes zones",25000,75,8,8,7000
aubergine,Black Beauty,Variété violette,Plein air,20,32,50,80,"Sols riches","Saison chaude","Maraîchage",35000,75,7,6,10000
aubergine,Long Purple,Variété allongée,Plein air,20,35,50,80,"Sols profonds","Saison chaude","Toutes zones",40000,70,8,7,9000
aubergine,White Egg,Variété blanche oeuf,Plein air,20,32,50,80,"Sols limoneux","Saison chaude","Spécialisée",25000,80,7,6,15000
aubergine,Thai Round,Variété petite ronde,Plein air,22,35,50,80,"Sols légers","Saison chaude","Zone tropicale",20000,70,9,8,14000
aubergine,Striped Toga,Variété rayée,Plein air,20,32,50,80,"Sols riches","Saison chaude","Spécialisée",28000,75,7,6,16000
aubergine,Japanese Long,Variété asiatique,Plein air,20,32,50,80,"Sols profonds","Saison chaude","Maraîchage",42000,70,7,6,12000
oignon,Violet de Galmi,Oignon journée courte,Plein air,20,28,40,70,"Sablo-argileux / limono-sableux","Saison sèche / hivernage","Vallée du fleuve Sénégal",30000,110,8,8,10000
oignon,Texas Grano,Oignon insensible photopériode,Plein air,20,30,40,70,"Sols bien drainés","Saison sèche","Niayes, Vallée",35000,100,8,7,12000
oignon,Préma 178,Oignon hybride,Plein air,20,28,40,70,"Sols profonds riches en matière organique","Saison sèche / hivernage","Vallée, sites industriels",40000,90,8,7,15000
oignon,Oignon local,Oignon traditionnel,Plein air,20,26,40,70,"Sols alluviaux sablo-argileux","Saison sèche","Zones rurales",20000,120,7,8,5000
oignon,Red Creole,Oignon rouge,Plein air,20,30,40,70,"Sols légers","Saison sèche","Toutes zones",28000,110,8,8,11000
oignon,White Bermuda,Oignon blanc doux,Plein air,15,28,50,80,"Sols riches","Saison fraîche","Niayes",25000,90,5,4,13000
oignon,Wallaga Weiss,Oignon de conservation,Plein air,15,25,40,70,"Sols profonds","Saison fraîche","Altitude",30000,120,4,4,14000
oignon,Sturon,Oignon d'hiver,Plein air,5,25,40,80,"Sols limoneux","Saison fraîche","Zone tempérée",35000,130,3,3,12000
pomme_de_terre,Spunta,Tubercule cycle moyen,Plein air,15,22,60,80,"Sols sablo-légers bien drainés","Novembre-Avril","Niayes",35000,100,4,3,20000
pomme_de_terre,Désirée,Tubercule rouge,Plein air,15,22,60,80,"Sols légers riches en matière organique","Saison sèche / hivernage","Niayes",32000,110,4,3,18000
pomme_de_terre,Diamant,Tubercule tropical,Plein air,16,23,60,80,"Sablo-limoneux","Saison sèche","Niayes",30000,90,5,4,22000
pomme_de_terre,Clone Sahel,Tubercule tolérant stress,Plein air,15,22,60,80,"Sols alluviaux sableux","Contre-saison","Sahel",25000,85,7,6,25000
pomme_de_terre,Bintje,Tubercule jaune,Plein air,15,22,60,80,"Sols profonds","Saison fraîche","Altitude",40000,120,3,2,18000
pomme_de_terre,Charlotte,Tubercule ferme,Plein air,15,22,60,80,"Sols légers","Saison fraîche","Niayes",28000,90,3,2,25000
pomme_de_terre,Ratte,Tubercule ancienne,Plein air,15,22,60,80,"Sols sablonneux","Saison fraîche","Spécialisée",20000,110,3,2,30000
pomme_de_terre,Amandine,Tubercule précoce,Plein air,15,22,60,80,"Sols légers","Saison fraîche","Maraîchage",35000,80,3,2,28000
gombo,Clemson Spineless,Gombo horticole,Plein air,25,35,60,80,"Sols légers riches en matière organique","Avril-Décembre","Niayes, Sédhiou, Kolda",15000,60,9,8,5000
gombo,Rouge de Thiès,Gombo local,Plein air,25,35,60,80,"Sols légers à moyens","Saison chaude","Dakar, Thiès",12000,55,9,9,4000
gombo,Shukarsha,Gombo productif,Plein air,25,35,60,80,"Sols profonds légers","Saison pluvieuse","Sédhiou",18000,50,9,8,6000
gombo,F1 Lima,Gombo hybride,Plein air,25,35,60,80,"Sols bien drainés amendés","Saison chaude / hivernage","Zone soudanienne",20000,55,9,8,8000
gombo,Emerald,Gombo vert foncé,Plein air,25,35,60,80,"Sols riches","Saison chaude","Toutes zones",16000,60,9,8,7000
gombo,Gold Coast,Gombo jaune,Plein air,25,35,60,80,"Sols légers","Saison chaude","Zone tropicale",14000,65,9,8,6000
gombo,Jing Orange,Gombo orange décoratif,Plein air,25,35,60,80,"Sols pauvres","Saison chaude","Spécialisée",8000,70,9,9,10000
gombo,Red Burgundy,Gombo rouge,Plein air,25,35,60,80,"Sols riches","Saison chaude","Spécialisée",13000,60,9,8,9000
haricot_vert,Mamba,Haricot mangetout,Plein air,20,30,50,80,"Sols légers","Saison fraîche","Niayes",12000,60,5,4,15000
haricot_vert,Saxa,Haricot nain,Plein air,20,30,50,80,"Sols limoneux","Saison fraîche","Toutes zones",10000,55,5,4,12000
haricot_vert,Contender,Haricot résistant,Plein air,18,32,40,80,"Sols pauvres","Saison fraîche","Toutes zones",11000,50,6,5,10000
haricot_vert,Delta,Haricot mangetout,Plein air,20,30,50,80,"Sols riches","Saison fraîche","Maraîchage",13000,60,5,4,14000
haricot_vert,Amigo,Haricot jaune,Plein air,20,30,50,80,"Sols légers","Saison fraîche","Maraîchage",11000,55,5,4,16000
haricot_vert,,Haricot filet,Plein air,20,30,50,80,"Sols profonds","Saison fraîche","Spécialisée",15000,65,4,3,18000
niébé,Black-eyed pea,Niébé à graines blanches,Plein air,25,40,30,70,"Sols pauvres","Saison des pluies","Toutes zones",8000,75,9,9,3000
niébé,Red cowpea,Niébé à graines rouges,Plein air,25,40,30,70,"Sols sablonneux","Saison des pluies","Zone sahélienne",7500,70,9,9,3000
niébé,Brown crowder,Niébé à graines brunes,Plein air,25,40,30,70,"Sols légers","Saison des pluies","Bassin arachidier",7000,80,9,9,2500
niébé,White Acre,Niébé américain,Plein air,25,40,30,70,"Sols pauvres","Saison des pluies","Toutes zones",9000,75,9,9,3500
niébé,Mississippi Silver,Niébé résistant,Plein air,25,40,30,70,"Sols pauvres","Saison des pluies","Zone tropicale",8500,80,9,9,3500
niébé,California Blackeye,Niébé Californien,Plein air,25,40,30,70,"Sols légers","Saison des pluies","Irrigué",10000,70,8,8,4000
maïs,Maïs blanc,Variété locale,Plein air,20,35,40,80,"Sols riches","Saison des pluies","Toutes zones",2500,90,7,6,2000
maïs,Maïs jaune,Variété fourragère,Plein air,20,35,40,80,"Sols profonds","Saison des pluies","Toutes zones",3000,85,7,6,2000
maïs,Maïs sucré,Maïs légume,Plein air,20,32,50,80,"Sols riches","Saison fraîche","Niayes",8000,75,5,4,5000
maïs,Maïs pop corn,Maïs à éclater,Plein air,20,32,40,80,"Sols légers","Saison fraîche","Maraîchage",4000,100,5,4,6000
maïs,Maïs hybride 1,Hybride haut rendement,Plein air,20,35,40,80,"Sols riches","Saison des pluies","Zone tropicale",5000,80,7,6,4000
maïs,Maïs hybride 2,Hybride tolérant sécheresse,Plein air,20,38,30,80,"Sols pauvres","Saison des pluies courte","Zone sahélienne",4000,70,9,8,4000
riz,Riz NERICA 1,NERICA upland,Plein air,25,35,60,90,"Sols pas trop pauvres","Saison des pluies","Zone de bas-fond",4000,90,7,6,3000
riz,Riz NERICA 2,NERICA upland,Plein air,25,35,60,90,"Sols légers","Saison des pluies","Toutes zones",3500,85,7,6,3000
riz,Riz NERICA 3,NERICA upland,Plein air,25,35,60,90,"Sols pauvres","Saison des pluies","Zone sahélienne",3000,80,8,7,3000
riz,Riz NERICA 4,NERICA upland,Plein air,25,35,60,90,"Sols acides","Saison des pluies","Casamance",3800,85,7,6,3000
riz,Riz NERICA 5,NERICA upland,Plein air,25,35,60,90,"Sols riches","Saison des pluies","Vallée",4200,90,7,6,3000
riz,Riz Sahel 201,Oasis,Plein air,25,38,60,90,"Sols alcalins","Saison des pluies","Vallée du fleuve",6000,130,8,8,2500
riz,Riz Sahel 202,Oasis,Plein air,25,38,60,90,"Sols irrigués","Saison des pluies","Vallée",5800,125,8,8,2500
riz,Riz Sahel 108,Pluviale,Plein air,25,35,60,90,"Sols profonds","Saison des pluies","Sud",5500,120,7,7,2500
riz,Riz Kharifa,Local,Plein air,25,38,60,90,"Sols irrigués","Saison des pluies","Vallée",5000,135,8,8,2000
sorgho,Sorgho blanc,Consommation humaine,Plein air,25,40,30,70,"Sols pauvres","Saison des pluies","Toutes zones",1500,110,9,9,1500
sorgho,Sorgho rouge,Fourrage,Plein air,25,40,30,70,"Sols pauvres","Saison des pluies","Toutes zones",2000,100,9,9,1500
sorgho,Sorgho sucré,Production de sucre,Plein air,25,40,30,70,"Sols légers","Saison des pluies","Zone tropicale",2500,120,9,8,2000
